"What is the primary purpose of dependency management in software projects?<br><br>A. To automate the declaration, resolution, and usage of required functionality<br>B. To manually track all project files and their versions<br>C. To ensure that all code is written from scratch without external libraries<br>D. To limit the number of libraries a project can use","<b>Correct Answer:</b> A<br><br>The primary purpose of dependency management is to automate the process of declaring, resolving, and using the functionality required by a project. This ensures that projects can efficiently utilize external libraries and manage their versions without manual intervention."
What is a common outcome of using a dependency cache in Gradle?<br><br>A. It increases the number of network calls during builds<br>B. It speeds up the build process by avoiding unnecessary downloads<br>C. It eliminates the need for any dependencies in a project<br>D. It requires all dependencies to be downloaded every time,"<b>Correct Answer:</b> B<br><br>Using a dependency cache in Gradle speeds up the build process by storing resolved dependencies locally. This allows subsequent builds to use the cached versions, avoiding unnecessary network calls and reducing build time."
What does the term 'transitive dependencies' refer to in dependency management?<br><br>A. Dependencies that are not directly declared but are required by other dependencies<br>B. Dependencies that are only used during testing<br>C. Dependencies that are manually managed by the developer<br>D. Dependencies that are only available in local repositories,<b>Correct Answer:</b> A<br><br>Transitive dependencies refer to those dependencies that are not directly declared by a project but are required by other dependencies that the project uses. Managing these dependencies is crucial for ensuring that all necessary components are available for the project to function correctly.
What is the role of repositories in dependency management?<br><br>A. To store the source code of the project<br>B. To provide locations from which dependencies can be fetched<br>C. To compile the project code into executable files<br>D. To manage user permissions for accessing project files,<b>Correct Answer:</b> B<br><br>Repositories play a crucial role in dependency management by providing locations from which dependencies can be fetched. They can be local or remote and are essential for Gradle to locate and download the necessary libraries for a project.
"What is the primary purpose of dependency management in software projects?<br><br>A. To automate the declaration, resolution, and usage of required functionality<br>B. To manually track all libraries used in a project<br>C. To eliminate the need for external libraries<br>D. To ensure all project files are stored in a single location","<b>Correct Answer:</b> A<br><br>The primary purpose of dependency management is to automate the process of declaring, resolving, and using the functionality required by a project. This allows developers to efficiently manage external libraries and their versions, ensuring that the project can utilize reusable code effectively."
What does Gradle use to speed up the build process after resolving dependencies?<br><br>A. A global repository for all projects<br>B. A dependency cache to store resolved dependencies<br>C. A manual tracking system for dependencies<br>D. A single build file for all projects,"<b>Correct Answer:</b> B<br><br>Gradle speeds up the build process by storing resolved dependencies in a local cache known as the dependency cache. This allows subsequent builds to use the cached dependencies, avoiding unnecessary network calls and improving build efficiency."
What is a key feature of Gradle's dependency management?<br><br>A. It requires all dependencies to be stored locally<br>B. It allows for the declaration of dependencies in different scopes<br>C. It eliminates the need for version control<br>D. It only supports Java projects,"<b>Correct Answer:</b> B<br><br>A key feature of Gradle's dependency management is the ability to declare dependencies in different scopes. This means that developers can specify which dependencies are needed at compile time, runtime, or for testing, allowing for more granular control over how dependencies are used in a project."
What type of information does metadata provide about dependencies in Gradle?<br><br>A. Only the version number of the dependency<br>B. Coordinates for locating the dependency and other relevant details<br>C. A list of all files in the project<br>D. The source code of the dependency,"<b>Correct Answer:</b> B<br><br>Metadata in Gradle provides essential information about dependencies, including coordinates for finding the dependency in a repository, details about the project that created the dependency, authorship information, and any transitive dependencies required for proper functionality. This information is crucial for managing dependencies effectively."
What is the primary purpose of dependency resolution in Gradle?<br><br>A. To declare the dependencies required by a project<br>B. To locate and download the dependencies needed for a project<br>C. To visualize the project's dependency graph<br>D. To compile the source code of a project,"<b>Correct Answer:</b> B<br><br>The primary purpose of dependency resolution in Gradle is to locate and download the dependencies needed for a project. This process ensures that all required libraries and functionalities are available for the build process, allowing the project to function correctly."
What is a dependency cache in Gradle?<br><br>A. A storage for project source code<br>B. A local storage for resolved dependencies to speed up builds<br>C. A tool for visualizing dependencies<br>D. A configuration file for declaring dependencies,"<b>Correct Answer:</b> B<br><br>A dependency cache in Gradle is a local storage for resolved dependencies that speeds up builds by avoiding unnecessary network calls. Once dependencies are downloaded, they are stored in this cache for future builds, enhancing efficiency."
